study_id,spec_version,unit_id,arm,manifest_sha256,draw_id,draw_role,analysis_order,fold,train_rep,cell,config_index,model,corpus_level,base_corpus,panel_draw,r,seed_index,split_seed,inner_seed,train_seed,outer_sha256,inner_sha256,split_sha256,config_sha256,n_fit,n_val,n_test,est_gpu_sec,cap_group,conditional,truncation_rank,status
N14R2,2.0.0,adf546add929d7ad23d9cb017a9662c035463c0563937f5b5f0ae8439c5f526d,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,0,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,88aee71e2b88566047252edd277ce4873e8f6347aa59f9ea7e8cb978e36de0e9,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,7fa0ba500942831fa23f60fa1d4ca39b2491ddff7f7f883f05d6eb8b9c03bbf6,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,1,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,8232033a6d4c0c3e10867e069db9c6ca7b19b3e09e66ff0092f1e2677410f7cb,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,1c5ec6fec2ed4c517825966617a003d7794c148b4c3d7a6441faed660724d491,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,2,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,525a9b89875aabf96a25d5868732f0170064559379a37c40ffd832aff038cbcf,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,c87b0edc63c6d79bbab4534c0cf49a1fb3b40cc3980f87bf4e913c613be42d8c,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,3,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,023a599f13364eb5ca59e299394f04e572bae1264d2c84d9d914ebc7a5327f41,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,8e79d153b5ec92c43211e27ef2d62df232a656fefa0ff29634de85d31ec3663f,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,4,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,1bc86aef6e2aa68ebe1646bfe794dd733eec011e68c6fb88ba2a52cd3689d260,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,b58614e24207186c0ebfdcc52cedff3a58130685b49b9ddf95c60543b04e036c,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,5,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,c79d2ac28fa6c1f071282f04433bf6b26622912b78cd7300b458c769e691499e,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,09804ca77ab36bf3f2bef8b1d4934eb22a23150659034d977a18df077bbc6a75,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,6,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,a504d4678e5ff9f10c12d209d58c29fb5d28633b280b98f26fb6bb27a4408922,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,5e158859bbb7e7a4f4bf7e0097f57703404d72f08c7afe3fb031c9ccabce03e2,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,7,resnet_se,cremad,cremad,,0,0,2592660670,3734507283,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,6538744dc626f24bca17d52149942b5a0be64212995f125258ba88b38354bd47,e305c00c78faba1202651cc77a9e68558a6c0a3a0067c0c0b2743b3ee14f6edf,d718b584d9e64da23564fc7b667bddeb9d67de01b253622a15f2359622f4f422,4422,1474,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,1623e07eff6b2f794395a6c4394f35104ffd060568dce4900d7e63aa96877298,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GG_hpo,0,resnet_se,cremad,cremad,,0,0,2592660670,1061556313,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,17ad8143244a4affddce96e6f24fe8c78383617a10e8085a59d01147323aaa9d,faf48388d6e55ed35ceec4d06f7f70d984a64bb0f4f8082f09e5e560a19bd30f,88aee71e2b88566047252edd277ce4873e8f6347aa59f9ea7e8cb978e36de0e9,4426,1470,1539,0.0,N14R2,0,99,pending
N14R2,2.0.0,44b3197904a1cdeecfb68c9d12242e064e57712e58087a68dcf212b21d946ecb,N14R2,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GG_hpo,1,resnet_se,cremad,cremad,,0,0,2592660670,1061556313,3638751233,8386a453a55e6ff8958613003cb9e8dd6edbdf1a82cbe707d5d5c752a92f5e65,17ad8143244a4affddce96e6f24fe8c78383617a10e8085a59d01147323aaa9d,faf48388d6e55ed35ceec4d06f7f70d984a64bb0f4f8082f09e5e560a19bd30f,8232033a6d4c0c3e10867e069db9c6ca7b19b3e09e66ff0092f1e2677410f7cb,4426,1470,1539,0.0,N14R2,0,99,pending
